OTU,mean.group1.,variance.group1.,stderr.group1.,mean.group2.,variance.group2.,stderr.group2.,p.value,q.value,Kingdom,Phylum,Class,Order,Family,Genus,Species
Otu00860,7.5e-05,0,5e-05,3e-06,0,3e-06,0,0,Bacteria(100),Proteobacteria(100),Betaproteobacteria(100),Neisseriales(100),Neisseriaceae(100),Neisseriaceae_unclassified(100),
Otu00915,6e-05,0,2.3e-05,0,0,0,0,0,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Bacteroidaceae(100),Anaerorhabdus(100),
Otu01028,7.7e-05,0,4e-05,3e-06,0,3e-06,0,0,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Lachnospiraceae_unclassified(100),
Otu01114,2e-06,0,2e-06,6e-05,0,3.3e-05,0,0,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),
Otu01159,7.2e-05,0,7.2e-05,0,0,0,0,0,Bacteria(100),Firmicutes(100),Firmicutes_unclassified(97),Firmicutes_unclassified(97),Firmicutes_unclassified(97),Firmicutes_unclassified(97),
Otu01237,5.3e-05,0,3.3e-05,0,0,0,0,0,Bacteria(100),Firmicutes(100),Erysipelotrichia(100),Erysipelotrichales(100),Erysipelotrichaceae(100),Clostridium_XVIII(100),
Otu01257,4e-06,0,4e-06,7.6e-05,0,6.8e-05,0,0,Bacteria(100),Firmicutes(100),Bacilli(100),Lactobacillales(100),Enterococcaceae(100),Enterococcus(100),
Otu01278,2e-06,0,2e-06,7.4e-05,0,5.5e-05,0,0,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Prevotellaceae(100),Prevotellaceae_unclassified(99),
Otu01345,7.9e-05,0,7.7e-05,0,0,0,0,0,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Bacteroidaceae(100),Bacteroides(100),
Otu01357,6.2e-05,0,3e-05,0,0,0,0,0,Bacteria(100),Fibrobacteres(100),Fibrobacteria(100),Fibrobacterales(100),Fibrobacteraceae(100),Fibrobacter(100),
Otu01395,8.5e-05,0,6.3e-05,8e-06,0,4e-06,0,0,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Prevotellaceae(99),Prevotella(98),
Otu01403,4e-06,0,3e-06,7.9e-05,0,5.8e-05,0,0,Bacteria(100),Proteobacteria(100),Alphaproteobacteria(100),Rhizobiales(100),Brucellaceae(100),Ochrobactrum(99),
Otu01426,6.4e-05,0,5.4e-05,0,0,0,0,0,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),
Otu01431,1.1e-05,0,7e-06,8.7e-05,0,7.1e-05,0,0,Bacteria(100),Bacteroidetes(100),Bacteroidetes_unclassified(100),Bacteroidetes_unclassified(100),Bacteroidetes_unclassified(100),Bacteroidetes_unclassified(100),
Otu01477,6.6e-05,0,4.6e-05,0,0,0,0,0,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),
Otu01558,4e-06,0,3e-06,7.6e-05,0,7.4e-05,0,0,Bacteria(100),Actinobacteria(100),Actinobacteria(100),Coriobacteriales(100),Coriobacteriaceae(100),Olsenella(100),
Otu01561,6.4e-05,0,3.8e-05,0,0,0,0,0,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Clostridiales_unclassified(100),Clostridiales_unclassified(100),
Otu01682,7.7e-05,0,6.6e-05,0,0,0,0,0,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Xanthomonadales(100),Xanthomonadaceae(100),Stenotrophomonas(100),
Otu01771,2e-06,0,2e-06,7.9e-05,0,4.7e-05,0,0,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Lachnospiraceae_unclassified(100),
Otu01774,0,0,0,6.8e-05,0,5.3e-05,0,0,Bacteria(100),Proteobacteria(82),Alphaproteobacteria(80),Alphaproteobacteria_unclassified(80),Alphaproteobacteria_unclassified(80),Alphaproteobacteria_unclassified(80),
Otu01846,0,0,0,6e-05,0,4e-05,0,0,Bacteria(100),Spirochaetes(100),Spirochaetia(100),Spirochaetales(100),Spirochaetaceae(100),Treponema(100),
Otu01975,6e-05,0,5.7e-05,0,0,0,0,0,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),
Otu00958,7.7e-05,0,5.2e-05,8e-06,0,6e-06,1e-06,0.0002302,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Bacteroidaceae(100),Bacteroides(100),
Otu01299,6e-05,0,3.4e-05,3e-06,0,3e-06,1e-06,0.0002302,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Ruminococcaceae(100),Ruminococcaceae_unclassified(100),
Otu01393,2e-06,0,2e-06,5.5e-05,0,2.3e-05,1e-06,0.0002302,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),
Otu01418,4e-06,0,3e-06,6.3e-05,0,4.3e-05,1e-06,0.0002302,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Bacteroidaceae(100),Bacteroides(100),
Otu01476,8.1e-05,0,5.6e-05,1.1e-05,0,8e-06,1e-06,0.0002302,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),
Otu01504,4.9e-05,0,2.1e-05,0,0,0,1e-06,0.0002302,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Prevotellaceae(100),Prevotella(100),
Otu01627,5.1e-05,0,5.1e-05,0,0,0,1e-06,0.0002302,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Bacteroidales_unclassified(100),Bacteroidales_unclassified(100),
Otu01919,2e-06,0,2e-06,5.5e-05,0,2.1e-05,1e-06,0.0002302,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Bacteroidales_unclassified(67),Bacteroidales_unclassified(67),
Otu02335,0,0,0,4.2e-05,0,4.2e-05,3e-06,0.000668322580645161,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Clostridiaceae_1(100),Clostridium_sensu_stricto(100),
Otu01213,4.5e-05,0,1.7e-05,0,0,0,5e-06,0.00104636363636364,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Ruminococcaceae(100),Ruminococcaceae_unclassified(100),
Otu01315,5.5e-05,0,3e-05,3e-06,0,3e-06,5e-06,0.00104636363636364,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Prevotellaceae(99),Prevotella(96),
Otu01238,7.5e-05,0,2.9e-05,1.1e-05,0,7e-06,6e-06,0.00121870588235294,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Prevotellaceae(100),Prevotella(100),
Otu00930,1.5e-05,0,9e-06,7.9e-05,0,3.2e-05,8e-06,0.00153466666666667,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),
Otu01311,1.7e-05,0,1.1e-05,8.4e-05,0,3.4e-05,8e-06,0.00153466666666667,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Clostridiales_unclassified(100),Clostridiales_unclassified(100),
Otu00627,5.3e-05,0,3.7e-05,3e-06,0,3e-06,9e-06,0.00167983783783784,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Clostridiales_unclassified(100),Clostridiales_unclassified(100),
Otu01340,7.2e-05,0,3.2e-05,1.1e-05,0,8e-06,1e-05,0.00181736842105263,Bacteria(100),Bacteroidetes(100),Bacteroidetes_unclassified(100),Bacteroidetes_unclassified(100),Bacteroidetes_unclassified(100),Bacteroidetes_unclassified(100),
Otu01375,7.7e-05,0,5.4e-05,1.3e-05,0,8e-06,1.2e-05,0.00212492307692308,Bacteria(100),Spirochaetes(100),Spirochaetia(100),Spirochaetales(100),Spirochaetaceae(100),Treponema(100),
Otu01144,0,0,0,3.7e-05,0,2.7e-05,1.3e-05,0.00224445,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Bacteroidales_unclassified(100),Bacteroidales_unclassified(100),
Otu00952,8.3e-05,0,3.7e-05,1.6e-05,0,1.1e-05,1.4e-05,0.00235814634146341,Bacteria(100),Firmicutes(100),Bacilli(100),Lactobacillales(100),Streptococcaceae(100),Streptococcus(100),
Otu00917,4.9e-05,0,2.9e-05,3e-06,0,3e-06,1.5e-05,0.00240906976744186,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Clostridiales_unclassified(100),Clostridiales_unclassified(100),
Otu01475,5.7e-05,0,2.4e-05,5e-06,0,4e-06,1.5e-05,0.00240906976744186,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Prevotellaceae(100),Prevotella(100),
Otu01234,7e-05,0,2.9e-05,1.1e-05,0,8e-06,1.6e-05,0.00245546666666667,Bacteria(100),Bacteroidetes(100),Bacteroidia(98),Bacteroidales(98),Bacteroidales_unclassified(98),Bacteroidales_unclassified(98),
Otu01256,7e-05,0,3.3e-05,1.1e-05,0,6e-06,1.6e-05,0.00245546666666667,Bacteria(100),Bacteroidetes(100),Bacteroidetes_unclassified(99),Bacteroidetes_unclassified(99),Bacteroidetes_unclassified(99),Bacteroidetes_unclassified(99),
Otu00940,4e-05,0,2.3e-05,0,0,0,1.8e-05,0.00264485106382979,Bacteria(100),Proteobacteria(100),Betaproteobacteria(100),Burkholderiales(100),Sutterellaceae(100),Sutterella(100),
