OTU,mean.group1.,variance.group1.,stderr.group1.,mean.group2.,variance.group2.,stderr.group2.,p.value,q.value,Kingdom,Phylum,Class,Order,Family,Genus,Species
Otu00947,7.3e-05,0,4.7e-05,9e-06,0,5e-06,0,0,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Lachnospiraceae_unclassified(100),
Otu01031,4.6e-05,0,4.6e-05,0,0,0,0,0,Bacteria(100),Firmicutes(100),Firmicutes_unclassified(99),Firmicutes_unclassified(99),Firmicutes_unclassified(99),Firmicutes_unclassified(99),
Otu01115,7e-06,0,4e-06,7.2e-05,0,3.2e-05,0,0,Bacteria(100),Firmicutes(99),Clostridia(99),Clostridiales(99),Clostridiales_unclassified(99),Clostridiales_unclassified(99),
Otu01159,1e-05,0,4e-06,7.2e-05,0,7.2e-05,0,0,Bacteria(100),Firmicutes(100),Firmicutes_unclassified(97),Firmicutes_unclassified(97),Firmicutes_unclassified(97),Firmicutes_unclassified(97),
Otu01192,1.5e-05,0,1e-05,8.5e-05,0,3.8e-05,0,0,Bacteria(100),Bacteroidetes(100),Bacteroidetes_unclassified(100),Bacteroidetes_unclassified(100),Bacteroidetes_unclassified(100),Bacteroidetes_unclassified(100),
Otu01218,1.3e-05,0,9e-06,8.5e-05,0,3.8e-05,0,0,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Prevotellaceae(100),Prevotellaceae_unclassified(69),
Otu01277,6.3e-05,0,5e-05,6e-06,0,4e-06,0,0,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Ruminococcaceae(100),Ruminococcaceae_unclassified(100),
Otu01345,2e-06,0,2e-06,7.9e-05,0,7.7e-05,0,0,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Bacteroidaceae(100),Bacteroides(100),
Otu01395,1.3e-05,0,6e-06,8.5e-05,0,6.3e-05,0,0,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Prevotellaceae(99),Prevotella(98),
Otu01419,7e-06,0,5e-06,6e-05,0,2.4e-05,0,0,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Clostridiales_unclassified(100),Clostridiales_unclassified(100),
Otu01426,2e-06,0,2e-06,6.4e-05,0,5.4e-05,0,0,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),
Otu01435,7.3e-05,0,7e-05,0,0,0,0,0,Bacteria(100),Firmicutes(100),Firmicutes_unclassified(100),Firmicutes_unclassified(100),Firmicutes_unclassified(100),Firmicutes_unclassified(100),
Otu01465,3e-06,0,3e-06,6.4e-05,0,4.5e-05,0,0,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Pasteurellales(100),Pasteurellaceae(100),Pasteurellaceae_unclassified(100),
Otu01476,7e-06,0,4e-06,8.1e-05,0,5.6e-05,0,0,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),
