OTU,mean.group1.,variance.group1.,stderr.group1.,mean.group2.,variance.group2.,stderr.group2.,p.value,q.value,Kingdom,Phylum,Class,Order,Family,Genus,Species
Otu00683,1.3e-05,0,9e-06,8.6e-05,0,6.1e-05,0,0,Bacteria(100),Bacteroidetes(100),Bacteroidetes_unclassified(100),Bacteroidetes_unclassified(100),Bacteroidetes_unclassified(100),Bacteroidetes_unclassified(100),
Otu00702,3e-06,0,3e-06,6e-05,0,2.8e-05,0,0,Bacteria(100),Proteobacteria(73),Proteobacteria_unclassified(73),Proteobacteria_unclassified(73),Proteobacteria_unclassified(73),Proteobacteria_unclassified(73),
Otu00889,7.4e-05,0,4.8e-05,5e-06,0,5e-06,0,0,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),
Otu00902,0,0,0,5.4e-05,0,3.6e-05,0,0,Bacteria(100),Firmicutes(100),Erysipelotrichia(100),Erysipelotrichales(100),Erysipelotrichaceae(100),Erysipelotrichaceae_unclassified(100),
Otu01127,8.4e-05,0,6.7e-05,3e-06,0,3e-06,0,0,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Prevotellaceae(98),Prevotella(98),
Otu01164,6.6e-05,0,4.5e-05,7e-06,0,7e-06,0,0,Bacteria(100),Firmicutes(100),Erysipelotrichia(100),Erysipelotrichales(100),Erysipelotrichaceae(100),Clostridium_XVIII(100),
Otu01197,8.4e-05,0,6e-05,1.5e-05,0,8e-06,0,0,Bacteria(100),Fusobacteria(100),Fusobacteriia(100),Fusobacteriales(100),Fusobacteriaceae(100),Cetobacterium(100),
Otu01206,5.9e-05,0,3.1e-05,3e-06,0,3e-06,0,0,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Ruminococcaceae(100),Ruminococcaceae_unclassified(100),
Otu01333,5e-06,0,4e-06,8.6e-05,0,6.6e-05,0,0,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Lachnospiraceae_unclassified(55),
Otu01345,5.9e-05,0,4.4e-05,2e-06,0,2e-06,0,0,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Bacteroidaceae(100),Bacteroides(100),
Otu01360,0,0,0,6.2e-05,0,6.2e-05,0,0,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),
Otu01372,0,0,0,5.2e-05,0,3.6e-05,0,0,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Ruminococcaceae(98),Ruminococcaceae_unclassified(98),
Otu01425,3e-06,0,3e-06,5.9e-05,0,5.9e-05,0,0,Bacteria(100),Bacteroidetes(100),Bacteroidetes_unclassified(100),Bacteroidetes_unclassified(100),Bacteroidetes_unclassified(100),Bacteroidetes_unclassified(100),
Otu01606,6.4e-05,0,4.3e-05,3e-06,0,3e-06,0,0,Bacteria(100),Firmicutes(100),Erysipelotrichia(100),Erysipelotrichales(100),Erysipelotrichaceae(100),Faecalicoccus(100),
Otu01637,8.7e-05,0,5.4e-05,3e-06,0,3e-06,0,0,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Prevotellaceae(100),Prevotella(100),
Otu01691,0,0,0,7.2e-05,0,7.2e-05,0,0,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Lachnospiraceae_unclassified(98),
Otu01697,7.9e-05,0,7.9e-05,2e-06,0,2e-06,0,0,Bacteria(100),Firmicutes(100),Firmicutes_unclassified(100),Firmicutes_unclassified(100),Firmicutes_unclassified(100),Firmicutes_unclassified(100),
Otu01714,0,0,0,8.3e-05,0,8e-05,0,0,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Ruminococcaceae(100),Ruminococcaceae_unclassified(100),
Otu01733,5.9e-05,0,2.3e-05,3e-06,0,2e-06,0,0,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Ruminococcaceae(100),Faecalibacterium(100),
Otu01773,8.7e-05,0,8.7e-05,0,0,0,0,0,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Prevotellaceae(100),Prevotellaceae_unclassified(100),
Otu01786,8.4e-05,0,8.4e-05,0,0,0,0,0,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),
Otu01789,5.4e-05,0,5.1e-05,0,0,0,0,0,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Prevotellaceae(100),Prevotellaceae_unclassified(100),
Otu02003,6.6e-05,0,5.9e-05,0,0,0,0,0,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Lachnospiraceae_unclassified(97),
Otu02008,4.3e-05,0,3.8e-05,0,0,0,0,0,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Lachnospiraceae_unclassified(100),
Otu02198,0,0,0,4.9e-05,0,4.9e-05,0,0,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),
Otu02707,0,0,0,5e-05,0,5e-05,0,0,Bacteria(100),Firmicutes(100),Firmicutes_unclassified(100),Firmicutes_unclassified(100),Firmicutes_unclassified(100),Firmicutes_unclassified(100),
Otu00567,5e-06,0,5e-06,6.3e-05,0,4.7e-05,1e-06,0.000180594594594595,Bacteria(100),Firmicutes(100),Negativicutes(100),Selenomonadales(100),Veillonellaceae(100),Megasphaera(100),
Otu00781,8e-06,0,4e-06,7.2e-05,0,2.4e-05,1e-06,0.000180594594594595,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Ruminococcaceae(100),Ruminococcaceae_unclassified(71),
