OTU,mean.group1.,variance.group1.,stderr.group1.,mean.group2.,variance.group2.,stderr.group2.,p.value,q.value,Kingdom,Phylum,Class,Order,Family,Genus,Species
Otu00915,6.6e-05,0,5.2e-05,0,0,0,0,0,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Bacteroidaceae(100),Anaerorhabdus(100),
Otu00951,7.2e-05,0,7.2e-05,0,0,0,0,0,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Porphyromonadaceae(100),Porphyromonas(100),
Otu01195,8.7e-05,0,5.3e-05,5e-06,0,4e-06,0,0,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Rikenellaceae(100),Rikenellaceae_unclassified(100),
Otu01196,8.4e-05,0,3.6e-05,8e-06,0,6e-06,0,0,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),
Otu01244,6e-06,0,6e-06,8.2e-05,0,3.3e-05,0,0,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Clostridiales_unclassified(100),Clostridiales_unclassified(100),
Otu01269,7.5e-05,0,4.2e-05,0,0,0,0,0,Bacteria(100),Proteobacteria(100),Betaproteobacteria(100),Burkholderiales(100),Sutterellaceae(100),Parasutterella(100),
Otu01278,0,0,0,7.4e-05,0,5.5e-05,0,0,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Prevotellaceae(100),Prevotellaceae_unclassified(99),
Otu01311,3e-06,0,3e-06,8.4e-05,0,3.4e-05,0,0,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Clostridiales_unclassified(100),Clostridiales_unclassified(100),
Otu01403,0,0,0,7.9e-05,0,5.8e-05,0,0,Bacteria(100),Proteobacteria(100),Alphaproteobacteria(100),Rhizobiales(100),Brucellaceae(100),Ochrobactrum(99),
Otu01418,0,0,0,6.3e-05,0,4.3e-05,0,0,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Bacteroidaceae(100),Bacteroides(100),
