OTU,mean.group1.,variance.group1.,stderr.group1.,mean.group2.,variance.group2.,stderr.group2.,p.value,q.value,Kingdom,Phylum,Class,Order,Family,Genus,Species
Otu00804,7.8e-05,0,4.6e-05,6e-06,0,6e-06,0,0,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),
Otu00891,1.1e-05,0,7e-06,8.1e-05,0,5.1e-05,0,0,Bacteria(100),Bacteria_unclassified(68),Bacteria_unclassified(68),Bacteria_unclassified(68),Bacteria_unclassified(68),Bacteria_unclassified(68),
Otu00895,8.5e-05,0,5.7e-05,6e-06,0,6e-06,0,0,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Porphyromonadaceae(100),Porphyromonadaceae_unclassified(100),
Otu00947,7.3e-05,0,4.7e-05,6e-06,0,6e-06,0,0,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Lachnospiraceae_unclassified(100),
Otu01062,0,0,0,5.5e-05,0,5.5e-05,0,0,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),
Otu01115,7e-06,0,4e-06,7.5e-05,0,3.2e-05,0,0,Bacteria(100),Firmicutes(99),Clostridia(99),Clostridiales(99),Clostridiales_unclassified(99),Clostridiales_unclassified(99),
Otu01123,8e-06,0,5e-06,7.8e-05,0,6.9e-05,0,0,Bacteria(100),Firmicutes(91),Clostridia(91),Clostridiales(86),Clostridiales_unclassified(82),Clostridiales_unclassified(82),
Otu01159,1e-05,0,4e-06,7.5e-05,0,5.3e-05,0,0,Bacteria(100),Firmicutes(100),Firmicutes_unclassified(97),Firmicutes_unclassified(97),Firmicutes_unclassified(97),Firmicutes_unclassified(97),
Otu01170,0,0,0,6.3e-05,0,6.3e-05,0,0,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Peptostreptococcaceae(100),Peptostreptococcus(100),
Otu01425,5.9e-05,0,5.9e-05,0,0,0,0,0,Bacteria(100),Bacteroidetes(100),Bacteroidetes_unclassified(100),Bacteroidetes_unclassified(100),Bacteroidetes_unclassified(100),Bacteroidetes_unclassified(100),
