OTU,mean.group1.,variance.group1.,stderr.group1.,mean.group2.,variance.group2.,stderr.group2.,p.value,q.value,Kingdom,Phylum,Class,Order,Family,Genus,Species
Otu00958,7.8e-05,0,6.9e-05,3e-06,0,3e-06,0,0,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Bacteroidaceae(100),Bacteroides(100),
Otu01179,0,0,0,8.1e-05,0,6e-05,0,0,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),
Otu01290,3e-06,0,3e-06,8.1e-05,0,5.1e-05,0,0,Bacteria(100),Bacteroidetes(100),Bacteroidia(90),Bacteroidales(90),Bacteroidales_unclassified(90),Bacteroidales_unclassified(90),
Otu01550,0,0,0,6.3e-05,0,6.3e-05,0,0,Bacteria(100),Bacteroidetes(100),Bacteroidetes_unclassified(100),Bacteroidetes_unclassified(100),Bacteroidetes_unclassified(100),Bacteroidetes_unclassified(100),
Otu01652,0,0,0,7.2e-05,0,5.9e-05,0,0,Bacteria(100),Spirochaetes(100),Spirochaetia(100),Spirochaetales(100),Spirochaetaceae(100),Treponema(99),
Otu01688,0,0,0,7.5e-05,0,6.9e-05,0,0,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Porphyromonadaceae(100),Porphyromonas(100),
Otu01711,8.4e-05,0,7.2e-05,3e-06,0,3e-06,0,0,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Bacteroidaceae(100),Bacteroides(100),
Otu01171,6e-06,0,4e-06,8.1e-05,0,5.8e-05,1e-06,0.0005569,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(99),Clostridiales_unclassified(99),Clostridiales_unclassified(99),
Otu01195,8.7e-05,0,5.3e-05,9e-06,0,6e-06,1e-06,0.0005569,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Rikenellaceae(100),Rikenellaceae_unclassified(100),
Otu01646,3e-06,0,3e-06,7.2e-05,0,7.2e-05,1e-06,0.0005569,Bacteria(100),Spirochaetes(100),Spirochaetia(100),Spirochaetales(100),Spirochaetaceae(100),Treponema(100),
Otu01324,0,0,0,5.8e-05,0,4.9e-05,2e-06,0.000856769230769231,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Ruminococcaceae(100),Ruminococcaceae_unclassified(100),
Otu02018,5.8e-05,0,5.8e-05,0,0,0,2e-06,0.000856769230769231,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),
Otu02500,5.8e-05,0,5.2e-05,0,0,0,2e-06,0.000856769230769231,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Rikenellaceae(100),Alistipes(100),
Otu00961,9e-06,0,5e-06,8.4e-05,0,4.4e-05,3e-06,0.0011138,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Lachnospiraceae_unclassified(85),
Otu01269,7.5e-05,0,4.2e-05,6e-06,0,6e-06,3e-06,0.0011138,Bacteria(100),Proteobacteria(100),Betaproteobacteria(100),Burkholderiales(100),Sutterellaceae(100),Parasutterella(100),
Otu01062,0,0,0,5.5e-05,0,5.5e-05,4e-06,0.00123755555555556,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),
Otu01569,0,0,0,5.5e-05,0,5.5e-05,4e-06,0.00123755555555556,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Clostridiales_unclassified(100),Clostridiales_unclassified(100),
Otu01732,0,0,0,5.5e-05,0,5.5e-05,4e-06,0.00123755555555556,Bacteria(100),Proteobacteria(100),Proteobacteria_unclassified(98),Proteobacteria_unclassified(98),Proteobacteria_unclassified(98),Proteobacteria_unclassified(98),
Otu00962,1.2e-05,0,5e-06,8.7e-05,0,4.3e-05,6e-06,0.00151881818181818,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),
Otu01080,6.3e-05,0,2.1e-05,3e-06,0,3e-06,6e-06,0.00151881818181818,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),
Otu01170,3e-06,0,3e-06,6.3e-05,0,6.3e-05,6e-06,0.00151881818181818,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Peptostreptococcaceae(100),Peptostreptococcus(100),
Otu01674,6e-06,0,6e-06,7.2e-05,0,6.1e-05,6e-06,0.00151881818181818,Bacteria(100),Bacteroidetes(100),Bacteroidetes_unclassified(100),Bacteroidetes_unclassified(100),Bacteroidetes_unclassified(100),Bacteroidetes_unclassified(100),
Otu02633,0,0,0,5.2e-05,0,3.2e-05,8e-06,0.00193704347826087,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),
Otu00808,8.4e-05,0,3.4e-05,1.2e-05,0,5e-06,1.1e-05,0.00245036,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Ruminococcaceae(100),Acetivibrio(100),
Otu01288,6.1e-05,0,2.5e-05,3e-06,0,3e-06,1.1e-05,0.00245036,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Lachnospiraceae_unclassified(100),
Otu00487,0,0,0,4.9e-05,0,4.6e-05,1.5e-05,0.00288051724137931,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),
Otu01020,4.9e-05,0,4.1e-05,0,0,0,1.5e-05,0.00288051724137931,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Porphyromonadaceae(99),Porphyromonadaceae_unclassified(99),
Otu01345,4.9e-05,0,4.6e-05,0,0,0,1.5e-05,0.00288051724137931,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Bacteroidaceae(100),Bacteroides(100),
Otu01651,0,0,0,4.9e-05,0,4.3e-05,1.5e-05,0.00288051724137931,Bacteria(100),Proteobacteria(100),Epsilonproteobacteria(100),Campylobacterales(100),Helicobacteraceae(100),Helicobacter(100),
Otu00934,6.6e-05,0,5.2e-05,6e-06,0,4e-06,1.9e-05,0.00352703333333333,Bacteria(100),Bacteroidetes(100),Bacteroidia(58),Bacteroidales(58),Bacteroidales_unclassified(58),Bacteroidales_unclassified(58),
Otu01364,0,0,0,4.6e-05,0,2.2e-05,3.1e-05,0.00539496875,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Rikenellaceae(100),Alistipes(100),
Otu01524,0,0,0,4.6e-05,0,3e-05,3.1e-05,0.00539496875,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),
Otu00557,8.4e-05,0,3.1e-05,1.4e-05,0,8e-06,3.9e-05,0.00658154545454545,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Lachnospiraceae_unclassified(100),
Otu00559,0,0,0,4.3e-05,0,4.3e-05,6.1e-05,0.00970597142857143,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Prevotellaceae(100),Prevotella(100),
Otu01883,0,0,0,4.3e-05,0,4.3e-05,6.1e-05,0.00970597142857143,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Porphyromonadaceae(100),Porphyromonas(100),
Otu00949,3e-06,0,3e-06,5.2e-05,0,3.5e-05,7.6e-05,0.0117567777777778,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),
Otu01244,6e-06,0,6e-06,5.8e-05,0,3.6e-05,0.000121,0.0165711707317073,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Clostridiales_unclassified(100),Clostridiales_unclassified(100),
Otu01294,0,0,0,4e-05,0,2.7e-05,0.000122,0.0165711707317073,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Lachnospiraceae_unclassified(94),
Otu01305,0,0,0,4e-05,0,3.8e-05,0.000122,0.0165711707317073,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Bacteroidales_unclassified(100),Bacteroidales_unclassified(100),
Otu02221,4e-05,0,4e-05,0,0,0,0.000122,0.0165711707317073,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Lachnospiraceae_unclassified(100),
Otu02250,5.8e-05,0,5.8e-05,6e-06,0,6e-06,0.000121,0.0165711707317073,Bacteria(100),Firmicutes(100),Firmicutes_unclassified(100),Firmicutes_unclassified(100),Firmicutes_unclassified(100),Firmicutes_unclassified(100),
Otu01102,1.2e-05,0,8e-06,6.9e-05,0,2.7e-05,0.00018,0.0238671428571429,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Lachnospiraceae_unclassified(95),
