OTU,mean.group1.,variance.group1.,stderr.group1.,mean.group2.,variance.group2.,stderr.group2.,p.value,q.value,Kingdom,Phylum,Class,Order,Family,Genus,Species
Otu00891,5e-06,0,4e-06,8.1e-05,0,5.1e-05,0,0,Bacteria(100),Bacteria_unclassified(68),Bacteria_unclassified(68),Bacteria_unclassified(68),Bacteria_unclassified(68),Bacteria_unclassified(68),
Otu00902,0,0,0,7.8e-05,0,6.1e-05,0,0,Bacteria(100),Firmicutes(100),Erysipelotrichia(100),Erysipelotrichales(100),Erysipelotrichaceae(100),Erysipelotrichaceae_unclassified(100),
Otu01115,5e-06,0,5e-06,7.5e-05,0,3.2e-05,0,0,Bacteria(100),Firmicutes(99),Clostridia(99),Clostridiales(99),Clostridiales_unclassified(99),Clostridiales_unclassified(99),
Otu01155,6.1e-05,0,5.9e-05,0,0,0,0,0,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Clostridiales_unclassified(100),Clostridiales_unclassified(100),
Otu01164,6.6e-05,0,4.5e-05,0,0,0,0,0,Bacteria(100),Firmicutes(100),Erysipelotrichia(100),Erysipelotrichales(100),Erysipelotrichaceae(100),Clostridium_XVIII(100),
Otu01170,0,0,0,6.3e-05,0,6.3e-05,0,0,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Peptostreptococcaceae(100),Peptostreptococcus(100),
Otu01179,5e-06,0,5e-06,8.1e-05,0,6e-05,0,0,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),
Otu01290,0,0,0,8.1e-05,0,5.1e-05,0,0,Bacteria(100),Bacteroidetes(100),Bacteroidia(90),Bacteroidales(90),Bacteroidales_unclassified(90),Bacteroidales_unclassified(90),
Otu01345,5.9e-05,0,4.4e-05,0,0,0,0,0,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Bacteroidaceae(100),Bacteroides(100),
Otu01637,8.7e-05,0,5.4e-05,0,0,0,0,0,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Prevotellaceae(100),Prevotella(100),
Otu01646,0,0,0,7.2e-05,0,7.2e-05,0,0,Bacteria(100),Spirochaetes(100),Spirochaetia(100),Spirochaetales(100),Spirochaetaceae(100),Treponema(100),
Otu01652,3e-06,0,3e-06,7.2e-05,0,5.9e-05,0,0,Bacteria(100),Spirochaetes(100),Spirochaetia(100),Spirochaetales(100),Spirochaetaceae(100),Treponema(99),
Otu01674,3e-06,0,3e-06,7.2e-05,0,6.1e-05,0,0,Bacteria(100),Bacteroidetes(100),Bacteroidetes_unclassified(100),Bacteroidetes_unclassified(100),Bacteroidetes_unclassified(100),Bacteroidetes_unclassified(100),
Otu01688,3e-06,0,3e-06,7.5e-05,0,6.9e-05,0,0,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Porphyromonadaceae(100),Porphyromonas(100),
Otu01697,7.9e-05,0,7.9e-05,0,0,0,0,0,Bacteria(100),Firmicutes(100),Firmicutes_unclassified(100),Firmicutes_unclassified(100),Firmicutes_unclassified(100),Firmicutes_unclassified(100),
Otu01773,8.7e-05,0,8.7e-05,0,0,0,0,0,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Prevotellaceae(100),Prevotellaceae_unclassified(100),
Otu01786,8.4e-05,0,8.4e-05,0,0,0,0,0,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),
Otu00352,5.6e-05,0,5.6e-05,0,0,0,1e-06,0.000252565217391304,Bacteria(100),Fusobacteria(100),Fusobacteriia(100),Fusobacteriales(100),Fusobacteriaceae(100),Fusobacteriaceae_unclassified(100),
Otu00686,3e-06,0,3e-06,6.3e-05,0,4.9e-05,1e-06,0.000252565217391304,Bacteria(100),Bacteroidetes(100),Bacteroidetes_unclassified(100),Bacteroidetes_unclassified(100),Bacteroidetes_unclassified(100),Bacteroidetes_unclassified(100),
Otu00874,0,0,0,5.5e-05,0,2.4e-05,1e-06,0.000252565217391304,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Bacteroidales_unclassified(100),Bacteroidales_unclassified(100),
Otu00895,7.7e-05,0,7.2e-05,6e-06,0,6e-06,1e-06,0.000252565217391304,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Porphyromonadaceae(100),Porphyromonadaceae_unclassified(100),
Otu01188,8e-06,0,6e-06,8.1e-05,0,4.4e-05,1e-06,0.000252565217391304,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),
Otu01550,3e-06,0,3e-06,6.3e-05,0,6.3e-05,1e-06,0.000252565217391304,Bacteria(100),Bacteroidetes(100),Bacteroidetes_unclassified(100),Bacteroidetes_unclassified(100),Bacteroidetes_unclassified(100),Bacteroidetes_unclassified(100),
Otu01789,5.4e-05,0,5.1e-05,0,0,0,2e-06,0.000484083333333333,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Prevotellaceae(100),Prevotellaceae_unclassified(100),
Otu01107,0,0,0,4.9e-05,0,2e-05,3e-06,0.000600931034482759,Bacteria(100),Verrucomicrobia(100),Opitutae(99),Opitutae_unclassified(98),Opitutae_unclassified(98),Opitutae_unclassified(98),
Otu01193,5e-06,0,5e-06,6.6e-05,0,3.7e-05,3e-06,0.000600931034482759,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Ruminococcaceae(100),Ruminococcaceae_unclassified(57),
Otu01441,5.1e-05,0,3.5e-05,0,0,0,3e-06,0.000600931034482759,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Bacteroidales_unclassified(100),Bacteroidales_unclassified(100),
Otu01522,5.1e-05,0,2.4e-05,0,0,0,3e-06,0.000600931034482759,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Lachnospiraceae_unclassified(100),
Otu01991,6.4e-05,0,5.6e-05,3e-06,0,3e-06,3e-06,0.000600931034482759,Bacteria(100),Firmicutes(100),Firmicutes_unclassified(100),Firmicutes_unclassified(100),Firmicutes_unclassified(100),Firmicutes_unclassified(100),
Otu01197,8.4e-05,0,6e-05,1.2e-05,0,1.2e-05,4e-06,0.000774533333333333,Bacteria(100),Fusobacteria(100),Fusobacteriia(100),Fusobacteriales(100),Fusobacteriaceae(100),Cetobacterium(100),
Otu01123,1e-05,0,8e-06,7.8e-05,0,6.9e-05,5e-06,0.00090765625,Bacteria(100),Firmicutes(91),Clostridia(91),Clostridiales(86),Clostridiales_unclassified(82),Clostridiales_unclassified(82),
Otu01324,3e-06,0,3e-06,5.8e-05,0,4.9e-05,5e-06,0.00090765625,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Ruminococcaceae(100),Ruminococcaceae_unclassified(100),
Otu01006,8.2e-05,0,2.4e-05,1.2e-05,0,1.2e-05,6e-06,0.00102511764705882,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Ruminococcaceae(97),Ruminococcaceae_unclassified(97),
Otu01364,0,0,0,4.6e-05,0,2.2e-05,6e-06,0.00102511764705882,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Rikenellaceae(100),Alistipes(100),
Otu01102,8e-06,0,4e-06,6.9e-05,0,2.7e-05,7e-06,0.0011618,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Lachnospiraceae_unclassified(95),
Otu00889,7.4e-05,0,4.8e-05,9e-06,0,9e-06,8e-06,0.00129088888888889,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),
Otu00858,1e-05,0,8e-06,7.5e-05,0,2.2e-05,9e-06,0.001413,Bacteria(100),Firmicutes(100),Erysipelotrichia(100),Erysipelotrichales(100),Erysipelotrichaceae(100),Erysipelotrichaceae_unclassified(94),
Otu00947,6.6e-05,0,3e-05,6e-06,0,6e-06,1e-05,0.00141682926829268,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Lachnospiraceae_unclassified(100),
Otu01732,3e-06,0,3e-06,5.5e-05,0,5.5e-05,1e-05,0.00141682926829268,Bacteria(100),Proteobacteria(100),Proteobacteria_unclassified(98),Proteobacteria_unclassified(98),Proteobacteria_unclassified(98),Proteobacteria_unclassified(98),
Otu01733,5.9e-05,0,2.3e-05,3e-06,0,3e-06,1e-05,0.00141682926829268,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Ruminococcaceae(100),Faecalibacterium(100),
Otu02003,6.6e-05,0,5.9e-05,6e-06,0,4e-06,1e-05,0.00141682926829268,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Lachnospiraceae_unclassified(97),
Otu00559,0,0,0,4.3e-05,0,4.3e-05,1.2e-05,0.00162111627906977,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Prevotellaceae(100),Prevotella(100),
Otu01883,0,0,0,4.3e-05,0,4.3e-05,1.2e-05,0.00162111627906977,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Porphyromonadaceae(100),Porphyromonas(100),
Otu00899,7.7e-05,0,4.3e-05,1.2e-05,0,7e-06,1.8e-05,0.00237640909090909,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Prevotellaceae(100),Prevotella(100),
Otu00949,3e-06,0,3e-06,5.2e-05,0,3.5e-05,1.9e-05,0.00245268888888889,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),
Otu00961,1.5e-05,0,8e-06,8.4e-05,0,4.4e-05,2.2e-05,0.00272667346938775,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Lachnospiraceae_unclassified(85),
Otu01009,4.3e-05,0,2.1e-05,0,0,0,2.3e-05,0.00272667346938775,Bacteria(100),Actinobacteria(100),Actinobacteria(100),Actinomycetales(100),Actinomycetaceae(100),Trueperella(100),
Otu01945,4.3e-05,0,2.5e-05,0,0,0,2.3e-05,0.00272667346938775,Bacteria(100),Bacteroidetes(100),Bacteroidia(99),Bacteroidales(99),Bacteroidales_unclassified(93),Bacteroidales_unclassified(93),
Otu02008,4.3e-05,0,3.8e-05,0,0,0,2.3e-05,0.00272667346938775,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Lachnospiraceae_unclassified(100),
Otu01305,0,0,0,4e-05,0,3.8e-05,2.5e-05,0.00284754901960784,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Bacteroidales_unclassified(100),Bacteroidales_unclassified(100),
Otu01470,0,0,0,4e-05,0,1.7e-05,2.5e-05,0.00284754901960784,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Ruminococcaceae(100),Ruminococcaceae_unclassified(100),
Otu00804,6.1e-05,0,2e-05,6e-06,0,6e-06,3.1e-05,0.00346305769230769,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),
Otu01008,5e-06,0,5e-06,5.8e-05,0,3.7e-05,3.7e-05,0.00358221666666667,Bacteria(100),Lentisphaerae(100),Lentisphaeria(100),Victivallales(100),Victivallaceae(100),Victivallis(100),
Otu01080,5.1e-05,0,1.6e-05,3e-06,0,3e-06,3.5e-05,0.00358221666666667,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),
Otu01244,5e-06,0,5e-06,5.8e-05,0,3.6e-05,3.7e-05,0.00358221666666667,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Clostridiales_unclassified(100),Clostridiales_unclassified(100),
Otu01283,5e-06,0,4e-06,5.8e-05,0,2.4e-05,3.7e-05,0.00358221666666667,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Clostridiales_unclassified(100),Clostridiales_unclassified(100),
Otu01432,3e-06,0,3e-06,4.9e-05,0,3e-05,3.7e-05,0.00358221666666667,Bacteria(100),Chlamydiae(100),Chlamydiia(100),Chlamydiales(100),Chlamydiaceae(100),Chlamydophila(100),
Otu01507,5.1e-05,0,2.6e-05,3e-06,0,3e-06,3.5e-05,0.00358221666666667,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Bacteroidaceae(100),Bacteroides(100),
Otu01537,5.1e-05,0,3.6e-05,3e-06,0,3e-06,3.5e-05,0.00358221666666667,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(89),Lachnospiraceae_unclassified(89),
Otu01608,5.1e-05,0,2.1e-05,3e-06,0,3e-06,3.5e-05,0.00358221666666667,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Ruminococcaceae(100),Butyricicoccus(100),
Otu01072,5.9e-05,0,3.1e-05,6e-06,0,4e-06,5.7e-05,0.00542808196721311,Bacteria(100),Bacteroidetes(100),Bacteroidetes_unclassified(97),Bacteroidetes_unclassified(97),Bacteroidetes_unclassified(97),Bacteroidetes_unclassified(97),
Otu00925,1.5e-05,0,9e-06,7.8e-05,0,2e-05,6.5e-05,0.00609008064516129,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(98),Clostridiales_unclassified(91),Clostridiales_unclassified(91),
Otu00876,1.8e-05,0,1.1e-05,8.4e-05,0,5e-05,6.7e-05,0.0061720625,Bacteria(100),Tenericutes(100),Mollicutes(100),Anaeroplasmatales(100),Anaeroplasmataceae(100),Anaeroplasma(100),
Otu01127,8.4e-05,0,6.7e-05,1.7e-05,0,1.5e-05,6.8e-05,0.0061720625,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Prevotellaceae(98),Prevotella(98),
Otu01075,5e-06,0,5e-06,5.5e-05,0,4.2e-05,7e-05,0.00625584615384615,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Porphyromonadaceae(100),Porphyromonadaceae_unclassified(100),
Otu01134,3e-06,0,3e-06,4.6e-05,0,3e-05,7.4e-05,0.00651312121212121,Bacteria(100),Proteobacteria(73),Proteobacteria_unclassified(73),Proteobacteria_unclassified(73),Proteobacteria_unclassified(73),Proteobacteria_unclassified(73),
Otu01036,8e-06,0,4e-06,5.8e-05,0,2e-05,9.2e-05,0.00785923529411765,Bacteria(100),Firmicutes(100),Firmicutes_unclassified(100),Firmicutes_unclassified(100),Firmicutes_unclassified(100),Firmicutes_unclassified(100),
Otu01485,6.9e-05,0,2.3e-05,1.2e-05,0,1.2e-05,9.1e-05,0.00785923529411765,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Ruminococcaceae(100),Anaerofilum(52),
Otu00664,8.7e-05,0,4.2e-05,2e-05,0,1.1e-05,0.00011,0.00926072463768116,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Lachnospiraceae_unclassified(100),
Otu01556,0,0,0,3.5e-05,0,1.5e-05,0.000115,0.00954335714285714,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Ruminococcaceae(83),Ruminococcaceae_unclassified(83),
Otu00976,5e-06,0,4e-06,5.2e-05,0,2.3e-05,0.00013,0.0101463866666667,Bacteria(100),Lentisphaerae(100),Lentisphaeria(100),Victivallales(100),Victivallaceae(100),Victivallis(100),
Otu00998,5e-06,0,4e-06,5.2e-05,0,1.7e-05,0.00013,0.0101463866666667,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Clostridiales_unclassified(100),Clostridiales_unclassified(100),
Otu01056,6.1e-05,0,3.3e-05,9e-06,0,6e-06,0.000131,0.0101463866666667,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Prevotellaceae(100),Prevotella(100),
Otu01100,5e-06,0,4e-06,5.2e-05,0,2.1e-05,0.00013,0.0101463866666667,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Clostridiales_unclassified(100),Clostridiales_unclassified(100),
Otu02633,5e-06,0,5e-06,5.2e-05,0,3.2e-05,0.00013,0.0101463866666667,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),
Otu01004,3e-06,0,3e-06,4.3e-05,0,3.2e-05,0.000146,0.0111593947368421,Bacteria(100),Bacteroidetes(100),Bacteroidia(98),Bacteroidales(98),Bacteroidales_unclassified(98),Bacteroidales_unclassified(98),
Otu01243,3.6e-05,0,2.6e-05,0,0,0,0.000165,0.0119810625,Bacteria(100),Bacteroidetes(100),Bacteroidetes_unclassified(100),Bacteroidetes_unclassified(100),Bacteroidetes_unclassified(100),Bacteroidetes_unclassified(100),
Otu01357,3.6e-05,0,1.9e-05,0,0,0,0.000165,0.0119810625,Bacteria(100),Fibrobacteres(100),Fibrobacteria(100),Fibrobacterales(100),Fibrobacteraceae(100),Fibrobacter(100),
Otu01627,3.6e-05,0,3.6e-05,0,0,0,0.000165,0.0119810625,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Bacteroidales_unclassified(100),Bacteroidales_unclassified(100),
